dt,AverageTemperature,Country,,,,,,,
01-08-1910,25.956,India,,,,,,,
01-09-1910,25.724,India,,,,,,,
01-10-1910,23.633,India,,,,,,,
01-11-1910,19.419,India,,,,,,,
01-12-1910,16.48,India,,,,,,,
01-01-1911,17.656,India,,,,,,,
01-02-1911,18.779,India,,,,,,,
01-03-1911,22.388,India,,,,,,,
01-04-1911,27.185,India,,,,,,,
01-05-1911,30.436,India,,,,,,,
01-06-1911,28.41,India,,,,,,,
01-07-1911,27.672,India,,,,,,,
01-08-1911,26.348,India,,,,,,,
01-09-1911,25.879,India,,,,,,,
01-10-1911,24.503,India,,,,,,,
01-11-1911,20.135,India,,,,,,,
01-12-1911,17.041,India,,,,,,,
01-01-1912,17.237,India,,,,,,,
01-02-1912,20.148,India,,,,,,,
01-03-1912,23.552,India,,,,,,,
01-04-1912,27.244,India,,,,,,,
01-05-1912,30.203,India,,,,,,,
01-06-1912,30.139,India,,,,,,,
01-07-1912,27.001,India,,,,,,,
01-08-1912,26.04,India,,,,,,,
01-09-1912,25.765,India,,,,,,,
01-10-1912,24.246,India,,,,,,,
01-11-1912,19.889,India,,,,,,,
01-12-1912,16.621,India,,,,,,,
01-01-1913,16.626,India,,,,,,,
01-02-1913,19.358,India,,,,,,,
01-03-1913,22.333,India,,,,,,,
01-04-1913,28.176,India,,,,,,,
01-05-1913,29.167,India,,,,,,,
01-06-1913,27.926,India,,,,,,,
01-07-1913,26.644,India,,,,,,,
01-08-1913,26.228,India,,,,,,,
01-09-1913,26.316,India,,,,,,,
01-10-1913,24.574,India,,,,,,,
01-11-1913,20.15,India,,,,,,,
01-12-1913,16.912,India,,,,,,,
01-01-1914,17.441,India,,,,,,,
01-02-1914,19.372,India,,,,,,,
01-03-1914,23.091,India,,,,,,,
01-04-1914,26.634,India,,,,,,,
01-05-1914,29.852,India,,,,,,,
01-06-1914,28.936,India,,,,,,,
01-07-1914,26.629,India,,,,,,,
01-08-1914,26.016,India,,,,,,,
01-09-1914,25.994,India,,,,,,,
01-10-1914,23.83,India,,,,,,,
01-11-1914,21.017,India,,,,,,,
01-12-1914,17.094,India,,,,,,,
01-01-1915,17.044,India,,,,,,,
01-02-1915,18.73,India,,,,,,,
01-03-1915,23.344,India,,,,,,,
01-04-1915,27.327,India,,,,,,,
01-05-1915,30.59,India,,,,,,,
01-06-1915,29.826,India,,,,,,,
01-07-1915,27.691,India,,,,,,,
01-08-1915,26.665,India,,,,,,,
01-09-1915,26.513,India,,,,,,,
01-10-1915,25.264,India,,,,,,,
01-11-1915,21.429,India,,,,,,,
01-12-1915,17.058,India,,,,,,,
01-01-1916,17.013,India,,,,,,,
01-02-1916,18.953,India,,,,,,,
01-03-1916,24.942,India,,,,,,,
01-04-1916,28.04,India,,,,,,,
01-05-1916,30.005,India,,,,,,,
01-06-1916,27.827,India,,,,,,,
01-07-1916,26.899,India,,,,,,,
01-08-1916,26.024,India,,,,,,,
